City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,san andros,25.0667,-78.05,292.42,62,100,4.73,BS,1706620438
310,vyazemskiy,47.5376,134.7556,248.24,94,34,1.47,RU,1706620439
311,punta arenas,-53.1548,-70.9113,283.27,81,75,5.14,CL,1706620440
312,boguchany,58.3814,97.4531,244.74,100,18,0.89,RU,1706620441
313,zeya,53.736,127.257,246.27,99,99,1.45,RU,1706620441
314,three points,32.0767,-111.3137,286.58,44,36,1.14,US,1706620442
315,yangambi,0.7676,24.4397,312.3,20,38,0.39,CD,1706620443
316,gimbi,9.1703,35.8349,300.13,28,98,1.49,ET,1706620444
317,shahpur,23.8937,79.0507,294.04,28,100,1.15,IN,1706620445
318,salekhard,66.53,66.6019,258.13,95,100,5.41,RU,1706620364
319,chonchi,-42.6239,-73.775,293.54,49,0,0.96,CL,1706620446
320,utrik,11.2278,169.8474,299.26,77,100,8.97,MH,1706620447
321,yuzhno-sakhalinsk,46.9541,142.736,261.2,85,40,0.0,RU,1706620293
322,york,40.8681,-97.592,273.54,100,0,0.0,US,1706620449
323,suva,-18.1416,178.4415,297.86,100,75,2.06,FJ,1706620450
324,gizo,-8.103,156.8419,298.81,91,100,7.51,SB,1706620450
325,greenland,13.2581,-59.5776,300.07,73,6,5.5,BB,1706620451
326,gilgit,35.9187,74.3125,280.46,57,100,1.06,PK,1706620452
327,qianzhou,28.3193,109.7335,280.8,97,100,0.67,CN,1706620453
328,inongo,-1.9275,18.2881,301.92,60,76,1.41,CD,1706620454
329,colares,38.7992,-9.4469,291.18,80,0,6.71,PT,1706620455
330,saudarkrokur,65.7461,-19.6394,268.97,85,100,6.95,IS,1706620455
331,beitbridge,-22.2167,30.0,307.83,26,11,5.58,ZW,1706620456
332,tangalle,6.0234,80.7974,299.05,88,43,3.31,LK,1706620457
333,pangody,65.85,74.4859,253.12,94,8,8.04,RU,1706620458
334,imbituba,-28.24,-48.6703,296.96,67,0,1.41,BR,1706620459
335,qaqortoq,60.7184,-46.0356,248.58,77,0,2.82,GL,1706620459
336,adh dhibiyah,26.027,43.157,294.43,15,0,5.56,SA,1706620460
337,khovd,48.0056,91.6419,252.56,93,12,0.35,MN,1706620461
338,ahau,-12.5,177.05,300.57,85,100,6.5,FJ,1706620462
339,enewetak,11.3474,162.3373,299.75,69,53,9.47,MH,1706620463
340,carutapera,-1.195,-46.02,300.73,77,100,1.71,BR,1706620464
341,rio grande,-53.7877,-67.7095,284.2,82,0,3.09,AR,1706620465
342,villa gesell,-37.2639,-56.973,300.4,58,0,3.21,AR,1706620465
343,podgorenskiy,50.405,39.643,270.75,89,95,5.81,RU,1706620466
344,nuuk,64.1835,-51.7216,257.49,60,40,7.2,GL,1706619855
345,tympaki,35.0729,24.7685,283.13,71,62,6.26,GR,1706620468
346,pisco,-13.7103,-76.2054,297.09,78,95,1.03,PE,1706620469
347,pak chong,14.708,101.4161,300.95,55,100,3.41,TH,1706620469
348,cairns city,-16.9192,145.7741,302.1,95,40,0.0,AU,1706620110
349,kataragama,6.4134,81.3346,298.98,85,10,3.88,LK,1706620471
350,undurkhaan,47.3194,110.6556,242.44,99,16,0.63,MN,1706620472
351,osakarovka,50.5622,72.5709,258.56,90,100,2.73,KZ,1706620473
352,coyutla,20.2472,-97.6582,291.05,87,100,0.73,MX,1706620474
353,warwick,-28.219,152.0344,295.1,94,28,4.02,AU,1706620474
354,vodnyy,63.5046,53.4095,272.82,95,100,4.61,RU,1706620475
355,saldanha,-33.0117,17.9442,295.14,69,100,5.93,ZA,1706620392
356,al basrah al qadimah,30.5032,47.8151,295.12,28,100,2.55,IQ,1706620208
357,eyl,7.9803,49.8164,301.23,57,92,9.75,SO,1706620478
358,tevragh zeina,18.0989,-15.9885,304.15,22,0,7.2,MR,1706620478
359,puerto san carlos,24.7887,-112.105,292.06,70,100,4.32,MX,1706620479
360,tchintabaraden,15.8969,5.7985,301.99,10,89,7.23,NE,1706620480
361,kichmengskiy gorodok,59.9816,45.7854,272.01,94,100,4.92,RU,1706620481
362,san andres,12.5832,-81.7064,300.1,69,20,5.14,CO,1706620482
363,shenjiamen,29.9576,122.298,283.85,96,91,1.58,CN,1706620483
